Unique ID,Instrument name,Type,Status,Jurisdiction,Region,Income group,Year,Emission_Coverage_%,Carbon_Price_USD,Revenue_Million_USD,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh),Nuclear per capita (kWh - equivalent),Hydro per capita (kWh - equivalent),Wind per capita (kWh - equivalent),Solar per capita (kWh - equivalent),Other renewables per capita (kWh - equivalent),Total_Energy_per_capita,Fossil_Fuel_Dependency_%,Population,Population_Log,Annual_CO2_emissions,GDP,Lookup_Entity,Entity,Tax_Coverage_%,ETS_Coverage_%,Actual_Coverage_%
Tax_NO,Norway carbon tax,Carbon tax,Implemented,Norway,Europe & Central Asia,High income,1994,0.001099,99.30826656,365.0510386,2372.5261,23869.613,7048.051,0.0,71514.305,5.7650614,0.0,194.57085,105004.8310114,31.70348428672372,4336467.0,15.282570749856545,37863000.0,173036343750.0,Norway,Norway,36.88232,0.0,36.88232
Tax_SE,Sweden carbon tax,Carbon tax,Implemented,Sweden,Europe & Central Asia,High income,1994,0.000982,43.43382729,1411.995671,3686.078,25044.123,894.28955,23144.271,18696.443,23.727655,0.31636876,793.3342,72282.58277375999,40.984272300732286,8780190.0,15.988008719361018,59997400.0,303751562500.0,Sweden,Sweden,65.7366,0.0,65.7366
Tax_NO,Norway carbon tax,Carbon tax,Implemented,Norway,Europe & Central Asia,High income,1995,0.0010619066039669,115.8107562,414.6479786,2576.953,24540.018,7078.333,0.0,77445.29,6.3725243,0.0,207.1867,111854.1532243,30.571331519025943,4358991.0,15.287751395935524,38469000.0,186010062500.0,Norway,Norway,36.210938,0.0,36.210938
Tax_SE,Sweden carbon tax,Carbon tax,Implemented,Sweden,Europe & Central Asia,High income,1995,0.0009491449313436,46.11732791,1570.200179,3666.7905,24789.191,890.5058,22009.666,21430.904,33.045185,0.31471607,833.44684,73653.86404107,39.843785091351286,8826298.0,15.993246345418866,59487264.0,324902843750.0,Sweden,Sweden,66.48,0.0,66.48
Tax_NO,Norway carbon tax,Carbon tax,Implemented,Norway,Europe & Central Asia,High income,1996,0.0010519411745272,112.632234,428.9342055,2549.6729,26120.912,7645.1387,0.0,65851.75,5.7062807,0.0,216.12541,102389.3052907,35.46827815355688,4381137.0,15.292819065957543,41540000.0,209251781250.0,Norway,Norway,40.119267,0.0,40.119267
Tax_SE,Sweden carbon tax,Carbon tax,Implemented,Sweden,Europe & Central Asia,High income,1996,0.0009922568118221,55.64830273,2058.570977,4054.4153,26585.117,952.69305,23338.117,16257.5625,45.247177,0.31421652,748.69946,71982.16570351999,43.8889619966729,8840330.0,15.994834877351751,63349024.0,335832968750.0,Sweden,Sweden,63.11484,0.0,63.11484
Tax_NO,Norway carbon tax,Carbon tax,Implemented,Norway,Europe & Central Asia,High income,1997,0.0010893161879058,109.5952706,415.1998908,2516.3745,26067.89,8781.268,0.0,69223.92,6.9365807,0.0,170.97096,106767.3600407,34.997149396366225,4404988.0,15.298248320186984,41644000.0,221315718750.0,Norway,Norway,36.518665,0.0,36.518665
Tax_SE,Sweden carbon tax,Carbon tax,Implemented,Sweden,Europe & Central Asia,High income,1997,0.0009196534391878,49.12047793,1613.590853,3462.313,25138.512,940.53973,21959.629,21685.793,63.74849,0.314032,979.662,74230.511252,39.796795457479845,8845525.0,15.995422352434176,58355300.0,347227031250.0,Sweden,Sweden,65.6821,0.0,65.6821
Tax_NO,Norway carbon tax,Carbon tax,Implemented,Norway,Europe & Central Asia,High income,1998,0.0011142940444055,94.70168315,420.970266,2714.5781,26004.531,8915.451,0.0,72528.75,6.8953805,0.0,190.40656,110360.6120405,34.10144199471176,4431308.0,15.30420558370144,41838000.0,210381312500.0,Norway,Norway,35.544827,0.0,35.544827
Tax_SE,Sweden carbon tax,Carbon tax,Implemented,Sweden,Europe & Central Asia,High income,1998,0.0009196898764697,46.27603027,1623.377438,3483.7546,25629.896,931.6762,23094.148,23458.217,96.66632,0.3138517,981.5712,77676.24317170001,38.6802007578895,8850606.0,15.995996602202714,58767172.0,361392156250.0,Sweden,Sweden,63.83261,0.0,63.83261
Tax_FI,Finland carbon tax,Carbon tax,Implemented,Finland,Europe & Central Asia,High income,1999,0.0009591128616287,0.0,0.0,11918.568,24620.732,7468.7603,12354.364,6872.4976,26.34995,0.76199764,5059.393,68321.42684764002,64.41326291112162,5165516.0,15.457515752331949,58874000.0,200397906250.0,Finland,Finland,54.1985,0.0,54.1985
